idDrink,strDrink,strCategory,strIBA,strAlcoholic,strGlass,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15
11000,Mojito,Cocktail,Contemporary Classics,Alcoholic,Highball Glass,Light Rum,Lime,Sugar,Mint,Soda Water,None,None,None,None,None,None,None,None,None,None,2-3 Oz ,Juice Of 1 ,2 Tsp ,2,None,None,None,None,None,None,None,None,None,None,None
11001,Old Fashioned,Cocktail,Unforgettables,Alcoholic,Old-Fashioned Glass,Bourbon,Angostura Bitters,Sugar,Water,None,None,None,None,None,None,None,None,None,None,None,4.5,2 Dashes,1 Cube,Dash,None,None,None,None,None,None,None,None,None,None,None
11002,Long Island Tea,Ordinary Drink,None,Alcoholic,Highball Glass,Vodka,Light Rum,Gin,Tequila,Lemon,Coca-Cola,None,None,None,None,None,None,None,None,None,1/2 Oz ,1/2 Oz ,1/2 Oz ,1/2 Oz ,Juice Of 1/2 ,1 Splash ,None,None,None,None,None,None,None,None,None
11003,Negroni,Ordinary Drink,Unforgettables,Alcoholic,Old-Fashioned Glass,Gin,Campari,Sweet Vermouth,None,None,None,None,None,None,None,None,None,None,None,None,1 Oz ,1 Oz ,1 Oz ,None,None,None,None,None,None,None,None,None,None,None,None
11004,Whiskey Sour,Ordinary Drink,Unforgettables,Alcoholic,Old-Fashioned Glass,Blended Whiskey,Lemon,Powdered Sugar,Cherry,Lemon,None,None,None,None,None,None,None,None,None,None,2 Oz ,Juice Of 1/2 ,1/2 Tsp ,,1/2 Slice ,None,None,None,None,None,None,None,None,None,None
11005,Dry Martini,Cocktail,Unforgettables,Alcoholic,Cocktail Glass,Gin,Dry Vermouth,Olive,None,None,None,None,None,None,None,None,None,None,None,None,1 2/3 Oz ,1/3 Oz ,,None,None,None,None,None,None,None,None,None,None,None,None
11006,Daiquiri,Ordinary Drink,None,Alcoholic,Cocktail Glass,Light Rum,Lime,Powdered Sugar,None,None,None,None,None,None,None,None,None,None,None,None,1 1/2 Oz ,Juice Of 1/2 ,1 Tsp ,None,None,None,None,None,None,None,None,None,None,None,None
11007,Margarita,Ordinary Drink,Contemporary Classics,Alcoholic,Cocktail Glass,Tequila,Triple Sec,Lime Juice,Salt,None,None,None,None,None,None,None,None,None,None,None,1 1/2 Oz ,1/2 Oz ,1 Oz ,None,None,None,None,None,None,None,None,None,None,None,None
11008,Manhattan,Cocktail,Unforgettables,Alcoholic,Cocktail Glass,Sweet Vermouth,Bourbon,Angostura Bitters,Ice,Maraschino Cherry,Orange Peel,None,None,None,None,None,None,None,None,None,3/4 Oz ,2 1/2 Oz Blended ,Dash ,2 Or 3 ,,1 Twist Of ,None,None,None,None,None,None,None,None,None
11009,Moscow Mule,Punch / Party Drink,Contemporary Classics,Alcoholic,Copper Mug,Vodka,Lime Juice,Ginger Ale,None,None,None,None,None,None,None,None,None,None,None,None,2 Oz ,2 Oz ,8 Oz ,None,None,None,None,None,None,None,None,None,None,None,None
11010,After Dinner Cocktail,Ordinary Drink,None,Alcoholic,Cocktail Glass,Apricot Brandy,Triple Sec,Lime,Lime,None,None,None,None,None,None,None,None,None,None,None,1 Oz ,1 Oz ,Juice Of 1 ,,None,None,None,None,None,None,None,None,None,None,None
11011,After Supper Cocktail,Ordinary Drink,None,Alcoholic,Cocktail Glass,Triple Sec,Apricot Brandy,Lemon Juice,None,None,None,None,None,None,None,None,None,None,None,None,1 Oz ,1 Oz ,1/2 Tsp ,None,None,None,None,None,None,None,None,None,None,None,None
11012,Alabama Slammer,Ordinary Drink,None,Alcoholic,Highball Glass,Southern Comfort,Amaretto,Sloe Gin,Lemon Juice,None,None,None,None,None,None,None,None,None,None,None,1 Oz ,1 Oz ,1/2 Oz ,1 Dash ,None,None,None,None,None,None,None,None,None,None,None
11014,Alexander,Ordinary Drink,Unforgettables,Alcoholic,Cocktail Glass,Gin,Creme De Cacao,Light Cream,Nutmeg,None,None,None,None,None,None,None,None,None,None,None,1/2 Oz ,1/2 Oz White ,2 Oz ,None,None,None,None,None,None,None,None,None,None,None,None
11016,Brandy Alexander,Ordinary Drink,None,Alcoholic,Whiskey Glass,Brandy,Creme De Cacao,Light Cream,Nutmeg,None,None,None,None,None,None,None,None,None,None,None,1 Oz ,1 Oz White ,1 Oz ,None,None,None,None,None,None,None,None,None,None,None,None
